gene_symbol	chr
GPR37L1	1
GPR39	2
GPR4	19
GPR42	19
GPR45	2
GPR50	X
GPR50-AS1	X
GPR52	1
GPR55	2
GPR6	6
GPR61	1
GPR62	3
GPR63	6
GPR65	14
GPR68	14
GPR75	2
GPR78	4
GPR82	X
GPR83	11
GPR84	12
GPR85	7
GPR87	3
GPR88	1
GPRASP1	X
GPRASP2	X
GPRC5A	12
GPRC5B	16
GPRC5C	17
GPRC5D	12
GPRC6A	6
GPRIN1	5
GPRIN2	10
GPRIN3	4
GPS1	17
GPS2	17
GPSM1	9
GPSM2	1
GPSM3	6
GPT	8
GPT2	16
GPX1	3
GPX2	14
GPX3	5
GPX4	19
GPX5	6
GPX6	6
GPX7	1
GPX8	5
GRAMD1A	19
GRAMD1B	11
GRAMD1C	3
GRAMD2A	15
GRAMD2B	5
GRAMD4	22
GRAP	17
GRAP2	22
GRAPL	17
GRB10	7
GRB14	2
GRB2	17
GRB7	17
GREB1	2
GREB1L	18
GREM1	15
GREM2	1
GRHL1	2
GRHL2	8
GRHL3	1
GRHPR	9
GRIA1	5
GRIA2	4
GRIA3	X
GRIA4	11
GRID1	10
GRID1-AS1	10
GRID2	4
GRID2IP	7
GRIFIN	7
GRIK1	21
GRIK1-AS1	21
GRIK2	6
GRIK3	1
GRIK4	11
GRIK5	19
GRIN1	9
GRIN2A	16
GRIN2B	12
GRIN2C	17
GRIN2D	19
GRIN3A	9
GRIN3B	19
GRINA	8
GRIP1	12
GRIP2	3
GRIPAP1	X
GRK1	HSCHR13_1_CTG5
GRK2	11
GRK3	22
GRK4	4
GRK5	10
GRK6	5
GRK6P1	13
GRK7	3
GRM1	6
GRM2	3
GRM3	7
GRM4	6
GRM5	11
GRM5-AS1	11
GRM6	5
GRM7	3
GRM7-AS1	3
GRM7-AS2	3
GRM7-AS3	3
GRM8	7
GRN	17
GRP	18
GRPEL1	4
GRPEL2	5
GRPEL2-AS1	5
GRPR	X
GRSF1	4
GRTP1	13
GRTP1-AS1	13
GRWD1	19
GRXCR1	4
GRXCR2	5
GS1-24F4.2	8
GS1-279B7.1	1
GS1-600G8.3	X
GSAP	7
GSC	14
GSC2	22
GSDMA	17
GSDMB	17
GSDMC	HSCHR8_7_CTG7
GSDMD	8
GSE1	16
GSEC	11
GSG1	12
GSG1L	16
GSG1L2	17
GSK3A	19
GSK3B	3
GSKIP	14
GSN	9
GSN-AS1	9
GSPT1	16
GSPT2	X
GSR	8
GSS	20
GSTA1	6
GSTA2	6
GSTA3	6
GSTA4	6
GSTA5	6
GSTA7P	6
GSTCD	4
GSTK1	7
GSTM1	1
GSTM2	1
GSTM2P1	6
GSTM3	1
GSTM4	1
GSTM5	1
GSTO1	10
GSTO2	10
GSTP1	11
GSTT1	HSCHR22_1_CTG7
GSTT2	HSCHR22_1_CTG7
GSTT2B	22
GSTTP2	HSCHR22_1_CTG7
GSTZ1	14
GSX1	13
GSX2	4
GTF2A1	14
GTF2A1L	2
GTF2A2	15
GTF2B	1
GTF2E1	3
GTF2E2	8
GTF2F1	19
GTF2F2	13
GTF2H1	11
GTF2H2	5
GTF2H2B	5
GTF2H2C	5
GTF2H2C_2	HSCHR5_2_CTG1_1
GTF2H3	12
GTF2H4	6
GTF2H5	6
GTF2I	7
GTF2IP1	7
GTF2IP12	4
GTF2IP20	1
GTF2IP23	7
GTF2IP4	7
GTF2IP7	7
GTF2IRD1	7
GTF2IRD1P1	7
GTF2IRD2	7
GTF2IRD2B	7
GTF3A	13
GTF3C1	16
GTF3C2	2
GTF3C2-AS1	2
GTF3C3	2
GTF3C4	9
GTF3C5	9
GTF3C6	6
GTPBP1	22
GTPBP10	7
GTPBP2	6
GTPBP3	19
GTPBP4	10
GTPBP6	X
GTPBP8	3
GTSCR1	18
GTSE1	22
GTSF1	12
GTSF1L	20
GUCA1A	6
GUCA1B	6
GUCA1C	3
GUCA2A	1
GUCA2B	1
GUCD1	22
GUCY1A2	11
GUCY1B2	13
GUCY2C	12
GUCY2D	17
GUCY2EP	11
GUCY2F	X
GUCY2GP	10
GUF1	4
GUK1	1
GULP1	2
GUSB	7
GUSBP1	5
GUSBP10	7
GUSBP11	22
GUSBP2	6
GUSBP3	5
GUSBP4	6
GUSBP5	4
GUSBP9	5
GVINP1	11
GXYLT1	12
GXYLT1P3	9
GXYLT2	3
GYG1	3
GYG2	X
GYG2P1	Y
GYPA	4
GYPB	4
GYPC	2
GYPE	4
GYS1	19
GYS2	12
GZF1	20
GZMA	5
GZMB	14
GZMH	14
GZMK	5
GZMM	19
H19	11
H6PD	1
HAAO	2
HABP2	10
HABP4	9
HACD1	10
HACD2	3
HACD3	15
HACD4	9
HACE1	6
HACL1	3
HADH	4
HADHA	2
HADHB	2
HAGH	16
HAGHL	16
HAGLR	2
HAGLROS	2
HAL	12
HAMP	19
HAND1	5
HAND2	4
HAND2-AS1	4
HAO1	20
HAO2	1
HAO2-IT1	1
HAP1	17
HAPLN1	5
HAPLN2	1
HAPLN3	15
HAPLN4	19
HAR1A	20
HAR1B	20
HARBI1	11
HARS2	5
HAS1	19
HAS2	8
HAS2-AS1	8
HAS3	16
HASPIN	17
HAT1	2
HAUS1	18
HAUS2	15
HAUS3	4
HAUS4	14
HAUS5	19
HAUS6	9
HAUS7	X
HAUS8	19
HAVCR1	5
HAVCR1P1	19
HAVCR2	5
HAX1	1
HBA1	16
HBA2	16
HBB	11
HBBP1	11
HBD	11
HBE1	11
HBEGF	5
HBG1	11
HBG2	11
HBM	16
HBP1	7
HBQ1	16
HBS1L	6
HBZ	16
HCAR1	12
HCAR2	12
HCAR3	12
HCCAT5	16
HCCS	X
HCFC1	X
HCFC1-AS1	X
HCFC1R1	16
HCFC2	12
HCG11	6
HCG14	HSCHR6_MHC_QBL_CTG1
HCG15	HSCHR6_MHC_SSTO_CTG1
HCG17	HSCHR6_MHC_QBL_CTG1
HCG18	HSCHR6_MHC_QBL_CTG1
HCG20	HSCHR6_MHC_QBL_CTG1
HCG21	6
HCG22	HSCHR6_MHC_QBL_CTG1
HCG23	HSCHR6_MHC_MCF_CTG1
HCG24	HSCHR6_MHC_QBL_CTG1
HCG25	HSCHR6_MHC_MCF_CTG1
HCG27	6
HCG4	6
HCG4B	HSCHR6_MHC_MANN_CTG1
HCG9	HSCHR6_MHC_QBL_CTG1
HCK	20
HCLS1	3
HCN1	5
HCN2	19
HCN3	1
HCN4	15
HCP5	HSCHR6_MHC_MCF_CTG1
HCP5B	6
HCRT	17
HCRTR1	1
HCRTR2	6
HCST	19
HDAC1	1
HDAC10	22
HDAC11	3
HDAC11-AS1	3
HDAC2	6
HDAC2-AS2	6
HDAC3	5
HDAC4	2
HDAC5	17
HDAC6	X
HDAC7	12
HDAC8	X
HDAC9	7
HDC	15
HDDC2	6
HDDC3	15
HDGF	1
HDGFL1	6
HDGFL2	19
HDGFL3	15
HDHD2	18
HDHD3	9
HDHD5	22
HDHD5-AS1	22
HDLBP	2
HDX	X
HEATR1	1
HEATR3	16
HEATR4	14
HEATR5A	14
HEATR5B	2
HEATR6	17
HEATR9	17
HEBP1	12
HEBP2	6
HECA	6
HECTD1	14
HECTD2	10
HECTD2-AS1	10
HECTD3	1
HECTD4	12
HECW1	7
HECW1-IT1	7
HECW2	2
HEG1	3
HEIH	5
HELB	12
HELLS	10
HELQ	4
HELT	4
HELZ	17
HELZ2	20
HEMGN	9
HEMK1	3
HENMT1	1
HEPACAM	11
HEPACAM2	7
HEPH	X
HEPHL1	11
HEPN1	11
HERC1	15
HERC2	15
HERC2P10	15
HERC2P11	HSCHR15_1_CTG8
HERC2P2	15
HERC2P3	15
HERC2P4	16
HERC2P7	15
HERC2P9	15
HERC3	4
HERC4	10
HERC5	4
HERC6	4
HERPUD1	16
HERPUD2	7
HES1	3
HES2	1
HES3	1
HES4	1
HES5	1
HES6	2
HES7	17
HESX1	3
HEXA	15
HEXA-AS1	15
HEXB	5
HEXIM1	17
HEXIM2	17
HEY1	8
HEY2	6
HEYL	1
HFE	6
HFM1	1
HGD	3
HGF	7
HGFAC	4
HGH1	8
HGS	17
HGSNAT	8
HHAT	1
HHATL	3
HHATL-AS1	3
HHEX	10
HHIP	4
HHIP-AS1	4
HHIPL1	14
HHIPL2	1
HHLA1	8
HHLA2	3
HIBADH	7
HIBCH	2
HIC1	17
HIC2	22
HID1	17
HID1-AS1	17
HIF1A	14
HIF1AN	10
HIF3A	19
HIGD1A	3
HIGD1B	17
HIGD1C	12
HIGD2A	5
HIGD2B	15
HIKESHI	11
HILPDA	7
HINFP	11
HINT1	5
HINT2	9
HINT3	6
HIP1	7
HIP1R	12
HIPK1	1
HIPK1-AS1	1
HIPK2	7
HIPK3	11
HIPK4	19
HIRA	22
HIRIP3	16
HIVEP1	6
HIVEP2	6
HIVEP3	1
HJURP	2
HK1	10
HK2	2
HK3	5
HKDC1	10
HLA-A	6
HLA-B	6
HLA-C	6
HLA-DMA	6
HLA-DMB	HSCHR6_MHC_QBL_CTG1
HLA-DOA	6
HLA-DOB	6
HLA-DPA1	6
HLA-DPB1	6
HLA-DPB2	HSCHR6_MHC_QBL_CTG1
HLA-DQA1	6
HLA-DQA2	HSCHR6_MHC_QBL_CTG1
HLA-DQB1	6
HLA-DQB1-AS1	HSCHR6_MHC_QBL_CTG1
HLA-DQB2	HSCHR6_MHC_QBL_CTG1
HLA-DRA	6
HLA-DRB1	6
HLA-DRB3	HSCHR6_MHC_QBL_CTG1
HLA-DRB4	HSCHR6_MHC_MCF_CTG1
HLA-DRB5	6
HLA-DRB6	6
HLA-E	6
HLA-F	6
HLA-F-AS1	HSCHR6_MHC_QBL_CTG1
HLA-G	6
HLA-H	HSCHR6_MHC_QBL_CTG1
HLA-J	HSCHR6_MHC_DBB_CTG1
HLA-L	HSCHR6_MHC_QBL_CTG1
HLCS	21
HLF	17
HLTF	3
HLTF-AS1	3
HLX	1
HLX-AS1	1
HM13	20
HM13-AS1	20
HMBOX1	8
HMBS	11
HMCES	3
HMCN1	1
HMCN2	9
HMG20A	15
HMG20B	19
HMGA1	6
HMGA1P7	6
HMGA2	12
HMGB1	13
HMGB2	4
HMGB3	X
HMGB3P1	20
HMGB4	1
HMGCL	1
HMGCLL1	6
HMGCR	5
HMGCS1	5
HMGCS2	1
HMGN1	21
HMGN2	1
HMGN2P46	15
HMGN3	6
HMGN3-AS1	6
HMGN4	6
HMGN5	X
HMGXB3	5
HMGXB4	22
HMHB1	5
HMMR	5
HMMR-AS1	5
HMOX1	22
HMOX2	16
HMSD	18
HMX1	4
HMX2	10
HMX3	10
HNF1A	12
HNF1A-AS1	12
HNF1B	17
HNF4A	20
HNF4A-AS1	20
HNF4G	8
HNMT	2
HNRNPA0	5
HNRNPA1	12
HNRNPA1L2	13
HNRNPA1P10	19
HNRNPA1P33	10
HNRNPA2B1	7
HNRNPA3	2
HNRNPA3P1	10
HNRNPAB	5
HNRNPC	14
HNRNPCL1	1
HNRNPCL2	1
HNRNPCL3	1
HNRNPCL4	1
HNRNPD	4
HNRNPDL	4
HNRNPF	10
HNRNPH1	5
HNRNPH2	X
HNRNPH3	10
HNRNPK	9
HNRNPKP3	11
HNRNPL	19
HNRNPLL	2
HNRNPM	19
HNRNPR	1
HNRNPU	1
HNRNPUL1	19
HNRNPUL2	11
HNRNPUL2-BSCL2	11
HOGA1	10
HOMER1	5
HOMER2	15
HOMER3	19
HOMEZ	14
HOOK1	1
HOOK2	19
HOOK3	8
HOPX	4
HORMAD1	1
HORMAD2	22
HORMAD2-AS1	22
HOTAIR	12
HOTAIRM1	7
HOTTIP	7
HOXA-AS2	7
HOXA-AS3	7
HOXA1	7
HOXA10	7
HOXA10-AS	7
HOXA10-HOXA9	7
HOXA11	7
HOXA11-AS	7
HOXA13	7
HOXA2	7
HOXA3	7
HOXA4	7
HOXA5	7
HOXA6	7
HOXA7	7
HOXA9	7
HOXB-AS1	17
HOXB-AS3	17
HOXB1	17
HOXB13	17
HOXB2	17
HOXB3	17
HOXB4	17
HOXB5	17
HOXB6	17
HOXB7	17
HOXB8	17
HOXB9	17
HOXC-AS1	12
HOXC-AS2	12
HOXC-AS3	12
HOXC10	12
HOXC11	12
HOXC12	12
HOXC13	12
HOXC13-AS	12
HOXC4	12
HOXC5	12
HOXC6	12
HOXC8	12
HOXC9	12
HOXD-AS2	2
HOXD1	2
HOXD10	2
HOXD11	2
HOXD12	2
HOXD13	2
HOXD3	2
HOXD4	2
HOXD8	2
HOXD9	2
HP	16
HP1BP3	1
HPCA	1
HPCAL1	2
HPCAL4	1
HPD	12
HPDL	1
HPF1	4
HPGD	4
HPGDS	4
HPN	19
HPN-AS1	19
HPR	16
HPRT1	X
HPS1	10
HPS3	3
HPS4	22
HPS5	11
HPS6	10
HPSE	4
HPSE2	10
HPX	11
HPYR1	8
HR	8
HRAS	11
HRAT17	7
HRC	19
HRCT1	9
HRG	3
HRH1	3
HRH2	5
HRH3	20
HRH4	18
HRK	12
HRNR	1
HS1BP3	2
HS1BP3-IT1	2
HS2ST1	1
HS3ST1	4
HS3ST2	16
HS3ST3A1	17
HS3ST3B1	17
HS3ST4	16
HS3ST5	6
HS3ST6	16
HS6ST1	2
HS6ST2	X
HS6ST2-AS1	X
HS6ST3	13
HSBP1	16
HSBP1L1	18
HSCB	22
HSD11B1	1
HSD11B1L	19
HSD11B2	16
HSD17B1	17
HSD17B10	X
HSD17B11	4
HSD17B12	11
HSD17B13	4
HSD17B14	19
HSD17B2	16
HSD17B3	9
HSD17B3-AS1	9
HSD17B4	5
HSD17B6	12
HSD17B7	1
HSD17B7P2	10
HSD17B8	6
HSD3B1	1
HSD3B2	1
HSD3B7	16
HSD3BP4	1
HSD52	1
HSDL1	16
HSDL2	9
HSF1	8
HSF2	6
HSF2BP	21
HSF4	16
HSF5	17
HSFX1	X
HSFX2	X
HSFX3	X
HSFX4	X
HSFY1	Y
HSFY1P1	22
HSFY2	Y
HSH2D	19
HSP90AA1	14
HSP90AB1	6
HSP90AB4P	15
HSP90B1	12
HSP90B2P	15
HSPA12A	10
HSPA12B	20
HSPA13	21
HSPA14	10
HSPA1A	HSCHR6_MHC_QBL_CTG1
HSPA1B	HSCHR6_MHC_QBL_CTG1
HSPA1L	6
HSPA2	14
HSPA4	5
HSPA4L	4
HSPA5	9
HSPA6	1
HSPA7	1
HSPA8	11
HSPA9	5
HSPB1	7
HSPB2	11
HSPB2-C11orf52	11
HSPB3	5
HSPB6	19
HSPB7	1
HSPB8	12
HSPB9	17
HSPBAP1	3
HSPBP1	19
HSPD1	2
HSPE1	2
HSPE1-MOB4	2
HSPG2	1
HSPH1	13
HTATIP2	11
HTATSF1	X
HTATSF1P2	6
HTD2	3
HTN1	HSCHR4_9_CTG12
HTN3	4
HTR1A	5
HTR1B	6
HTR1D	1
HTR1E	6
HTR1F	3
HTR2A	13
HTR2A-AS1	13
HTR2B	2
HTR2C	X
HTR3A	11
HTR3B	11
HTR3C	3
HTR3D	3
HTR3E	3
HTR3E-AS1	3
HTR4	5
HTR5A	7
HTR5A-AS1	7
HTR6	1
HTR7	10
HTR7P1	12
HTRA1	10
HTRA2	2
HTRA3	4
HTRA4	8
HTT	4
HTT-AS	4
HULC	6
HUNK	21
HUS1	7
HUS1B	6
HUWE1	X
HVCN1	12
HYAL1	3
HYAL2	3
HYAL3	3
HYAL4	7
HYDIN	16
HYDIN2	1
HYI	1
HYKK	15
HYLS1	11
HYMAI	6
HYOU1	11
HYPK	15
IAH1	2
IAPP	12
IARS2	1
IBA57	1
IBSP	4
IBTK	6
ICA1	7
ICA1L	2
ICAM1	19
ICAM2	17
ICAM3	19
ICAM4	19
ICAM5	19
ICE1	5
ICE2	15
ICMT	1
ICOS	2
ICOSLG	21
ID1	20
ID2	2
ID2-AS1	2
ID3	1
ID4	6
IDE	10
IDH1	2
IDH1-AS1	2
IDH2	15
IDH3A	15
IDH3B	20
IDH3G	X
IDI1	10
IDI2	10
IDI2-AS1	10
IDNK	9
IDO1	8
IDO2	8
IDS	X
IDUA	4
IER2	19
IER3	6
IER3IP1	18
IER5	1
IER5L	9
IFFO1	12
IFFO2	1
IFI16	1
IFI27	14
IFI27L1	14
IFI27L2	14
IFI30	19
IFI35	17
IFI44	1
IFI44L	1
IFI6	1
IFIH1	2
IFIT1	10
IFIT1B	10
IFIT2	10
IFIT3	10
IFIT5	10
IFITM1	11
IFITM10	11
IFITM2	11
IFITM3	11
IFITM4P	HSCHR6_MHC_SSTO_CTG1
IFITM5	11
IFNA1	9
IFNA10	9
IFNA13	9
IFNA14	9
IFNA16	9
IFNA17	9
IFNA2	9
IFNA21	9
IFNA22P	9
IFNA4	9
IFNA5	9
IFNA6	9
IFNA7	9
IFNA8	9
IFNAR1	21
IFNAR2	21
IFNB1	9
IFNE	9
IFNG	12
IFNG-AS1	12
IFNGR1	6
IFNGR2	21
IFNK	9
IFNL1	19
IFNL2	19
IFNL3	19
IFNL4	19
IFNLR1	1
IFNW1	9
IFRD1	7
IFRD2	3
IFT122	3
IFT140	16
IFT172	2
IFT20	17
IFT22	7
IFT27	22
IFT43	14
IFT46	11
IFT52	20
IFT57	3
IFT74	9
IFT74-AS1	9
IFT80	3
IFT81	12
IFT88	13
IGBP1	X
IGBP1P1	14
IGDCC3	15
IGDCC4	15
IGF1	12
IGF1R	15
IGF2	11
IGF2-AS	11
IGF2BP1	17
IGF2BP2	3
IGF2BP2-AS1	3
IGF2BP3	7
IGF2R	6
IGFALS	16
IGFBP1	7
IGFBP2	2
IGFBP3	7
IGFBP4	17
IGFBP5	2
IGFBP6	12
IGFBP7	4
IGFBP7-AS1	4
IGFBPL1	9
IGFL1	19
IGFL2	19
IGFL2-AS1	19
IGFL3	19
IGFL4	19
IGFLR1	19
IGFN1	1
IGHMBP2	11
IGHV1OR15-1	15
IGHV1OR15-3	15
IGIP	5
IGLL1	22
IGLL3P	22
IGLL5	22
IGLON5	19
IGSF1	X
IGSF10	3
IGSF11	3
IGSF11-AS1	3
IGSF21	1
IGSF22	11
IGSF23	19
IGSF3	1
IGSF5	21
IGSF6	16
IGSF8	1
IGSF9	1
IGSF9B	11
IHH	2
IK	5
IKBIP	12
IKBKB	8
IKBKE	1
IKBKG	X
IKZF1	7
IKZF2	2
IKZF3	17
IKZF4	12
IKZF5	10
IL10	1
IL10RA	11
IL10RB	21
IL11	19
IL11RA	9
IL12A	3
IL12A-AS1	3
IL12B	5
IL12RB1	19
IL12RB2	1
IL13	5
IL13RA1	X
IL13RA2	X
IL15	4
IL15RA	10
IL16	15
IL17A	6
IL17B	5
IL17C	16
IL17D	13
IL17F	6
IL17RA	22
IL17RB	3
IL17RC	3
IL17RD	3
IL17RE	3
IL17REL	22
IL18	11
IL18BP	11
IL18R1	2
IL18RAP	2
IL19	1
IL1A	2
IL1B	2
IL1F10	2
IL1R1	2
IL1R2	2
IL1RAP	3
IL1RAPL1	X
IL1RAPL2	X
IL1RL1	2
IL1RL2	2
IL1RN	2
IL2	4
IL20	1
IL20RA	6
IL20RB	3
IL21	4
IL21-AS1	4
IL21R	16
IL21R-AS1	16
IL22	12
IL22RA1	1
IL22RA2	6
IL23A	12
IL23R	1
IL24	1
IL25	14
IL26	12
IL27	16
IL27RA	19
IL2RA	10
IL2RB	22
IL2RG	X
IL3	5
IL31	12
IL31RA	5
IL32	16
IL33	9
IL34	16
IL36A	2
IL36B	2
IL36G	2
IL36RN	2
IL37	2
IL3RA	X
IL4	5
IL4I1	19
IL4R	16
IL5	5
IL5RA	3
IL6	7
IL6R	1
IL6ST	5
IL7	8
IL7R	5
IL9	5
IL9R	X
ILDR1	3
ILDR2	1
ILF2	1
ILF3	19
ILK	11
ILKAP	2
IMMP1L	11
IMMP2L	7
IMMT	2
IMP3	15
IMP4	2
IMPA1	8
IMPA1P1	8
IMPA2	18
IMPACT	18
IMPDH1	7
IMPDH2	3
IMPG1	6
IMPG2	3
INA	10
INAFM1	19
INAFM2	15
INCA1	17
INCENP	11
INE1	X
INE2	X
INF2	14
ING1	13
ING2	4
ING3	7
ING4	12
ING5	2
INGX	X
INHA	2
INHBA	7
INHBA-AS1	7
INHBB	2
INHBC	12
INHBE	12
INIP	9
INMT	7
INMT-MINDY4	7
INO80	15
INO80B	2
INO80B-WBP1	2
INO80C	18
INO80D	2
INO80E	16
INPP1	2
INPP4A	2
INPP4B	4
INPP5A	10
INPP5B	1
INPP5D	2
INPP5E	9
INPP5F	10
INPP5J	22
INPP5K	17
INPPL1	11
INS	11
INS-IGF2	11
INSC	11
INSIG1	7
INSIG2	2
INSL3	19
INSL4	9
INSL5	1
INSL6	9
INSM1	20
INSM2	14
INSR	19
INSRR	1
INTS1	7
INTS10	8
INTS11	1
INTS12	4
INTS13	12
INTS14	15
INTS2	17
INTS3	1
INTS4	11
INTS4P1	7
INTS4P2	7
INTS5	11
INTS6	13
INTS6-AS1	13
INTS6L	X
INTS7	1
INTS8	8
INTS9	8
INTU	4
INVS	9
IP6K1	3
IP6K2	3
IP6K3	6
IPCEF1	6
IPMK	10
IPO11	5
IPO13	1
IPO4	14
IPO5	13
IPO5P1	19
IPO7	11
IPO8	12
IPO9	1
IPO9-AS1	1
IPP	1
IPPK	9
IQCB1	3
IQCC	1
IQCE	7
IQCF1	3
IQCF2	3
IQCF3	3
IQCF5	3
IQCF5-AS1	3
IQCF6	3
IQCH	15
IQCH-AS1	15
IQCJ	3
IQCJ-SCHIP1	3
IQCJ-SCHIP1-AS1	3
IQCK	16
IQGAP1	15
IQGAP2	5
IQGAP3	1
IQSEC1	3
IQSEC2	X
IQSEC3	12
IQUB	7
IRAIN	15
IRAK1	X
IRAK1BP1	6
IRAK2	3
IRAK3	12
IRAK4	12
IREB2	15
IRF1	5
IRF2	4
IRF2BP1	19
IRF2BP2	1
IRF2BPL	14
IRF3	19
IRF4	6
IRF5	7
IRF6	1
IRF7	11
IRF8	16
IRF9	14
IRGC	19
IRGM	5
IRGQ	19
IRS1	2
IRS2	13
IRS4	X
IRX1	5
IRX2	5
IRX3	16
IRX4	5
IRX5	16
IRX6	16
ISCA1	9
ISCA2	14
ISCU	12
ISG15	1
ISG20	15
ISG20L2	1
ISL1	5
ISL2	15
ISLR	15
ISLR2	15
ISM1	20
ISM1-AS1	20
ISM2	14
ISOC1	5
ISOC2	19
IST1	16
ISX	22
ISY1	3
ISY1-RAB43	3
ISYNA1	19
ITCH	20
ITFG1	16
ITFG1-AS1	16
ITFG2	12
ITFG2-AS1	12
ITGA1	5
ITGA10	1
ITGA11	15
ITGA2	5
ITGA2B	17
ITGA3	17
ITGA4	2
ITGA5	12
ITGA6	2
ITGA7	12
ITGA8	10
ITGA9	3
ITGA9-AS1	3
ITGAD	16
ITGAE	17
ITGAL	16
ITGAM	16
ITGAV	2
ITGAX	16
ITGB1	10
ITGB1BP1	2
ITGB1BP2	X
ITGB2	21
ITGB2-AS1	21
ITGB3	17
ITGB3BP	1
ITGB4	17
ITGB5	3
ITGB6	2
ITGB7	12
ITGB8	7
ITGBL1	13
ITIH1	3
ITIH2	10
ITIH3	3
ITIH4	3
ITIH4-AS1	3
ITIH5	10
ITIH6	X
ITK	5
ITLN1	1
ITLN2	1
ITM2A	X
ITM2B	13
ITM2C	2
ITPA	20
ITPK1	14
ITPK1-AS1	14
ITPKA	15
ITPKB	1
ITPKB-IT1	1
ITPKC	19
ITPR1	3
ITPR2	12
ITPR3	6
ITPRIP	10
ITPRIPL1	2
ITPRIPL2	16
ITSN1	21
ITSN2	2
IVD	15
IVL	1
IVNS1ABP	1
IWS1	2
IYD	6
IZUMO1	19
IZUMO1R	11
IZUMO2	19
IZUMO3	9
IZUMO4	19
JADE1	4
JADE2	5
JADE3	X
JAG1	20
JAG2	14
JAGN1	3
JAK1	1
JAK2	9
JAK3	19
JAKMIP1	4
JAKMIP2	5
JAKMIP2-AS1	5
JAKMIP3	10
JAM2	21
JAM3	11
JAML	11
JARID2	6
JARID2-AS1	6
JAZF1	7
JAZF1-AS1	7
JCAD	10
JCHAIN	4
JDP2	14
JKAMP	14
JMJD1C	10
JMJD1C-AS1	10
JMJD4	1
JMJD6	17
JMJD7	15
JMJD7-PLA2G4B	15
JMJD8	16
JMY	5
JOSD1	22
JOSD2	19
JPH1	8
JPH2	20
JPH3	16
JPH4	14
JPT1	17
JPT2	16
JPX	X
JRK	8
JRKL	11
JRKL-AS1	11
JSRP1	19
JTB	1
JUN	1
JUNB	19
JUND	19
JUP	17
KAAG1	6
KALRN	3
KANK1	9
KANK2	19
KANK3	19
KANK4	1
KANSL1	17
KANSL1-AS1	17
KANSL1L	2
KANSL2	12
KANSL3	2
KANTR	X
KAT14	20
KAT2A	17
KAT2B	3
KAT5	11
KAT6A	8
KAT6B	10
KAT7	17
KAT8	16
KATNA1	6
KATNAL1	13
KATNAL2	18
KATNB1	16
KATNBL1	15
KATNBL1P6	6
KAZALD1	10
KAZN	1
KBTBD11	8
KBTBD11-OT1	8
KBTBD12	3
KBTBD13	15
KBTBD2	7
KBTBD3	11
KBTBD4	11
KBTBD6	13
KBTBD7	13
KBTBD8	3
KC6	18
KCMF1	2
KCNA1	12
KCNA10	1
KCNA2	1
KCNA3	1
KCNA4	11
KCNA5	12
KCNA6	12
KCNA7	19
KCNAB1	3
KCNAB1-AS1	3
KCNAB1-AS2	3
KCNAB2	1
KCNAB3	17
KCNB1	20
KCNB2	8
KCNC1	11
KCNC2	12
KCNC3	19
KCNC4	1
KCND1	X
KCND2	7
KCND3	1
KCND3-AS1	1
KCND3-IT1	1
KCNE1	21
KCNE2	21
KCNE3	11
KCNE4	2
KCNE5	X
KCNF1	2
KCNG1	20
KCNG2	18
KCNG3	2
KCNG4	16
KCNH1	1
KCNH1-IT1	1
KCNH2	7
KCNH3	12
KCNH4	17
KCNH5	14
KCNH6	17
KCNH7	2
KCNH8	3
KCNIP1	5
KCNIP2	10
KCNIP2-AS1	10
KCNIP3	2
KCNIP4	4
KCNIP4-IT1	4
KCNJ1	11
KCNJ10	1
KCNJ11	11
KCNJ12	17
KCNJ13	2
KCNJ14	19
KCNJ15	21
KCNJ16	17
KCNJ18	17
KCNJ2	17
KCNJ2-AS1	17
KCNJ3	2
KCNJ4	22
KCNJ5	11
KCNJ6	21
KCNJ8	12
KCNJ9	1
KCNK1	1
KCNK10	14
KCNK12	2
KCNK13	14
KCNK15	20
KCNK16	6
KCNK17	6
KCNK18	10
KCNK2	1
KCNK3	2
KCNK4	11
KCNK5	6
KCNK6	19
KCNK7	11
KCNK9	8
KCNMA1	10
KCNMA1-AS1	10
KCNMA1-AS2	10
KCNMA1-AS3	10
KCNMB1	5
KCNMB2	3
KCNMB2-AS1	3
KCNMB3	3
KCNMB4	12
KCNN1	19
KCNN2	5
KCNN3	1
KCNN4	19
KCNQ1	11
KCNQ1-AS1	11
KCNQ1DN	11
KCNQ1OT1	11
KCNQ2	20
KCNQ3	8
KCNQ4	1
KCNQ5	6
KCNQ5-AS1	6
KCNRG	13
KCNS1	20
KCNS2	8
KCNS3	2
KCNT1	9
KCNT2	1
KCNU1	8
KCNV1	8
KCNV2	9
KCP	7
KCTD1	18
KCTD10	12
KCTD11	17
KCTD12	13
KCTD13	16
KCTD14	11
KCTD15	19
KCTD16	5
KCTD17	22
KCTD18	2
KCTD19	16
KCTD2	17
KCTD20	6
KCTD21	11
KCTD21-AS1	11
KCTD3	1
KCTD4	13
KCTD5	16
KCTD6	3
KCTD7	7
KCTD8	4
KCTD9	8
KDELR1	19
KDELR2	7
KDELR3	22
KDF1	1
KDM1A	1
KDM1B	6
KDM2A	11
KDM2B	12
KDM3A	2
KDM3B	5
KDM4A	1
KDM4A-AS1	1
KDM4B	19
KDM4C	9
KDM4D	11
KDM4E	11
KDM5A	12
KDM5B	1
KDM5C	X
KDM5D	Y
KDM6A	X
